id_buque,nombre,patente,pais,tipo,tipo_pesca,max_containers,max_ton,max_lit,id_capitan, nombre_naviera,pais_naviera,descripcion_naviera
217,Bronington,LV7419,Qatar,petrolero,,,,729334,388,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
218,Penelope,DS0478,Chile,carga,,1342,122258,,679,Antares Naviera S.A.,Estados Unidos,Naviera dedicada a la carga
219,Premio Dover,KH8053,Belgica,pesquero,red,,,,1446,Bertling Logistics S.A.,Australia,Naviera dedicada a la pesca
220,Dovey,XB6912,Argentina,carga,,6477,149912,,748,Container Transport Solutions,Colombia,Naviera dedicada a la carga
221,downham,CE1914,Corea,petrolero,,,,743915,1596,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
222,Downley,RW4421,Suiza,petrolero,,,,587549,1026,Brekstad Shipping S.A.,Japon,Naviera dedicada al transporte de petroleo
223,Continuar,UY2987,Islas Malvinas,petrolero,,,,640640,1007,Brekstad Shipping S.A.,Japon,Naviera dedicada al transporte de petroleo
224,Premio dragon,EE2109,Nueva Zelanda,carga,,13002,147828,,272,Beagle Navegation S.A.,Colombia,Naviera dedicada a la carga
225,Libelula,RQ2918,Dinamarca,pesquero,manos,,,,1123,CMA,Chile,Naviera dedicada a la pesca
226,Pato,ZC6249,Brasil,petrolero,,,,610601,400,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
227,Terrible,SQ8557,Vietnam,petrolero,,,,730733,319,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
228,Acorazado,GC3280,Islas Malvinas,pesquero,red,,,,460,Yang Ming Marine Transport Corporation,Austria,Naviera dedicada a la pesca
229,Premio Dreadnought,NT2280,Colombia,petrolero,,,,745054,1360,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
230,Conductor,PZ1913,Nueva Zelanda,carga,,6099,122989,,1251,AGENCO,Islas Malvinas,Naviera dedicada a la carga
231,Drochterland,NN2774,Tailandia,carga,,8383,99464,,456,Agencia Maritima Kenrick Ltda.,Indonesia,Naviera dedicada a la carga
232,Drogheda,PB7290,Reino Unido,pesquero,manos,,,,835,Antarctic Shipping S.A.,Belgica,Naviera dedicada a la pesca
233,Dromedario,GE9618,Colombia,petrolero,,,,749602,641,Coasting S.A,Corea,Naviera dedicada al transporte de petroleo
234,Dromio,PK9613,Paraguay,carga,,11211,115463,,1228,Beagle Navegation S.A.,Colombia,Naviera dedicada a la carga
235,Droxford,CB1716,Tailandia,carga,,6361,101829,,897,Container Transport Solutions,Colombia,Naviera dedicada a la carga
236,Esclava,VI7863,Chile,carga,,6520,114011,,297,Container Transport Solutions,Colombia,Naviera dedicada a la carga
237,druida,OO2266,Qatar,pesquero,hilo,,,,1382,CMSP S.R.L.,Polonia,Naviera dedicada a la pesca
238,drumheller,VI9753,Nicaragua,carga,,14312,143280,,90,Antares Naviera S.A.,Estados Unidos,Naviera dedicada a la carga
239,drummondville,FE1567,Panama,carga,,9798,82537,,56,Agencia Maritima Kenrick Ltda.,Indonesia,Naviera dedicada a la carga
240,Drury,DG5218,Filipinas,carga,,6737,113805,,814,Evergreen Marine,Estados Unidos,Naviera dedicada a la carga
241,Driada,LI5894,Singapur,pesquero,arpon,,,,1504,CMA,Chile,Naviera dedicada a la pesca
242,dubbo,QJ1463,Tailandia,petrolero,,,,630467,522,APL,Finlandia,Naviera dedicada al transporte de petroleo
243,Dubford,DY6365,Irlanda,carga,,12367,131356,,594,Container Transport Solutions,Colombia,Naviera dedicada a la carga
244,Gulnare,OI4579,Egipto,carga,,13020,92264,,1359,Agencia Maritima Kenrick Ltda.,Indonesia,Naviera dedicada a la carga
245,Gurkha,TQ5114,Finlandia,carga,,12062,133964,,279,Container Transport Solutions,Colombia,Naviera dedicada a la carga
246,guysborough,ED5736,Chile,petrolero,,,,551307,698,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
247,gympie,HP3120,Panama,petrolero,,,,706639,511,Coasting S.A,Corea,Naviera dedicada al transporte de petroleo
248,gitano,YT2845,Mexico,pesquero,manos,,,,1404,Bertling Logistics S.A.,Australia,Naviera dedicada a la pesca
249,magnolia,ZP4420,Chile,carga,,7567,84204,,736,Container Transport Solutions,Colombia,Naviera dedicada a la carga
